resource_callsign,callsign_type,incident_number,call_time,revised_incident_type,assigned_time,mobile_time,on_scene_time,available_time,callsign_station,alias_1,initial_incident_type,initial_role,final_role,actual_role,riders,assign_order,mob_reason,lat,long,details,classification,geometry,pixel_value,suitability_or,suitability,suitability2
B041,PRL,FW001692-09012023,2023-01-09 18:21:36.333,RTC,2023-01-09 18:23:15.637,2023-01-09 18:23:42.477,2023-01-09 18:29:07.903,2023-01-09 19:01:05.753,Canley,B04,RTC,,PUMPING,Pumping,5,1,Initial Response,52.3893475055384,-1.59920774242848,road traffic Collison FLUIDS LEAKING - NO REPORTS OF ANYONE TRAPPED OR INJURED - AIRBAGS HAVE DEPLOYED IN ONE OF THE VEHICLES  junction CROMWELL LANE 2 VEHICLES INVOLVED  police ARE EN ROUTE,Class 4,POINT (427372.33810032526 276887.24375987414),0.6503356238900069,--,--,0.5199768343213695
C085,BRV,FW001696-09012023,2023-01-09 18:45:04.243,RTC,2023-01-09 18:46:15.830,2023-01-09 18:47:19.143,2023-01-09 18:50:40.103,2023-01-09 19:06:49.817,Billesley,C08,RTC PR,,PUMPING,Pumping,3,1,Initial Response,52.4329314693812,-1.83697205963291,"road traffic Collison ROLLOVER CAR versus PARKED CARS 1 PERSON TRAPPED ambulance EN ROUTE estimated time of arrival 8 MINUTES ambulance English word log - to log something, make a log of something 5783",Class 2,POINT (411180.5917186194 281672.37600002316),0.58942044,3.83,3.83,0.749999978404114
C091,PRL,FW001696-09012023,2023-01-09 18:45:04.243,RTC,2023-01-09 18:46:15.847,2023-01-09 18:47:29.960,2023-01-09 18:51:50.057,2023-01-09 19:07:35.297,Hay Mills,C09,RTC PR,,PUMPING,Pumping,4,2,Initial Response,52.4329314693812,-1.83697205963291,"road traffic Collison ROLLOVER CAR versus PARKED CARS 1 PERSON TRAPPED ambulance EN ROUTE estimated time of arrival 8 MINUTES ambulance English word log - to log something, make a log of something 5783",Class 3,POINT (411180.5917186194 281672.37600002316),0.58942044,3.83,3.83,0.749999978404114
C095,BRV,FW001696-09012023,2023-01-09 18:45:04.243,RTC,2023-01-09 18:46:15.877,2023-01-09 18:47:15.327,2023-01-09 18:52:11.197,2023-01-09 19:00:12.617,Hay Mills,C09,RTC PR,,PUMPING,Pumping,3,3,Initial Response,52.4329314693812,-1.83697205963291,"road traffic Collison ROLLOVER CAR versus PARKED CARS 1 PERSON TRAPPED ambulance EN ROUTE estimated time of arrival 8 MINUTES ambulance English word log - to log something, make a log of something 5783",Class 2,POINT (411180.5917186194 281672.37600002316),0.58942044,3.83,3.83,0.749999978404114
C095,BRV,FW001697-09012023,2023-01-09 19:06:45.023,RTC,2023-01-09 19:08:08.300,2023-01-09 19:08:22.170,2023-01-09 19:08:25.217,2023-01-09 20:16:50.070,Hay Mills,C09,RTC,,PUMPING,Pumping,3,1,Initial Response,52.4382696526718,-1.83559905249662,NOBODY TRAPPED - 2 CAR road traffic Collison  REQUEST POLICE FOR TRAFFIC,Class 2,POINT (411272.6016086518 282266.3741560562),0.8036138,3.51,3.51,0.6340579732053797
A051,PRL,FW001699-09012023,2023-01-09 19:10:25.970,SSC,2023-01-09 19:16:18.377,2023-01-09 19:16:56.593,2023-01-09 19:27:23.373,2023-01-09 19:44:17.713,Perry Barr,A05,WATER RESCUE INCIDENT,"PRL,R MODULE 2 WATER","PRL,R MODULE 2 WATER",Pumping,5,2,Initial Response,52.4874297952942,-1.86648923061301,STUCK IN WATER FORD TRANSIT VAN WATER UP HALF WAY ON DOOR- CANT OPEN THE DOOR TO GET OUT,Class 4,POINT (409162.6957965358 287730.39627127803),0.8823928,2.99,2.99,0.4456521823636075
A061,PRL,FW001699-09012023,2023-01-09 19:10:25.970,SSC,2023-01-09 19:14:15.870,2023-01-09 19:15:11.857,2023-01-09 19:19:01.383,2023-01-09 19:58:30.400,Ward End,A06,WATER RESCUE INCIDENT,,PUMPING,Pumping,5,1,Initial Response,52.4874297952942,-1.86648923061301,STUCK IN WATER FORD TRANSIT VAN WATER UP HALF WAY ON DOOR- CANT OPEN THE DOOR TO GET OUT,Class 4,POINT (409162.6957965358 287730.39627127803),0.8823928,2.99,2.99,0.4456521823636075
C065,BRV,FW001702-09012023,2023-01-09 19:49:35.500,SEC,2023-01-09 19:50:54.667,2023-01-09 19:52:27.457,2023-01-09 20:01:13.090,2023-01-09 20:13:28.507,Northfield,C06,SECONDARY FIRE,,PUMPING,Pumping,3,1,Initial Response,52.3989496383248,-1.94529727031015,DOWN ALLEYWAY ,Class 2,POINT (403818.50499218714 277881.3699244498),0.6626109,--,--,0.5199768343213695
C041,PRL,FW001703-09012023,2023-01-09 19:53:04.420,SSC,2023-01-09 19:54:06.240,2023-01-09 19:55:19.853,2023-01-09 19:59:40.800,2023-01-09 20:13:36.927,Bournbrook,C04,CARBON MONOXIDE,,PUMPING,Pumping,5,1,Initial Response,52.4398031308598,-1.9515136912485,IN THE KITCHEN,Class 4,POINT (403392.60878636985 282425.3712808073),0.5564589,3.36,3.36,0.5797101123772155
A065,BRV,FW001706-09012023,2023-01-09 20:24:25.353,FAE,2023-01-09 20:25:27.947,2023-01-09 20:26:28.080,2023-01-09 20:29:41.577,2023-01-09 20:35:09.657,Ward End,A06,ALARMS SLEEPING MANAGED,,PUMPING,Pumping,2,1,Initial Response,52.4778681277223,-1.82753055177774,*risk based crewing 2* PORTERS LODGE FIRE ALARM ACTIVATION  rendezvous point MAIN ENTRANCE,Class 1,POINT (411810.6560555563 286672.3883611607),0.5286672,3.68,3.68,0.6956522039594935
D081,PRL,FW001710-09012023,2023-01-09 20:51:59.747,SEC,2023-01-09 21:00:02.367,2023-01-09 21:00:28.070,2023-01-09 21:12:59.093,2023-01-09 21:48:49.330,West Bromwich,D08,SECONDARY FIRE,,PUMPING,Pumping,4,2,Initial Response,52.5560859871374,-1.97429236799468,risk based crewing 3 GRASS FIRE OFF WOODRUFF WAY,Class 3,POINT (401839.6372341505 295359.295235488),0.5581648,3.0,3.0,0.44927536732658235
D085,BRV,FW001710-09012023,2023-01-09 20:51:59.747,SEC,2023-01-09 20:53:54.713,2023-01-09 20:55:03.887,2023-01-09 21:01:45.823,2023-01-09 22:12:50.160,West Bromwich,D08,SECONDARY FIRE,,PUMPING,Pumping,2,1,Initial Response,52.5560859871374,-1.97429236799468,risk based crewing 3 GRASS FIRE OFF WOODRUFF WAY,Class 1,POINT (401839.6372341505 295359.295235488),0.5581648,3.0,3.0,0.44927536732658235
C075,BRV,FW001714-09012023,2023-01-09 21:15:11.150,SEC,2023-01-09 21:16:33.363,2023-01-09 21:16:55.057,2023-01-09 21:22:44.480,2023-01-09 21:33:58.560,Ladywood,C07,SMOKE IN AREA,,PUMPING,Pumping,3,1,Initial Response,52.4809831682625,-1.96921161512063, CALLER CAN SMELL SMOKE,Class 2,POINT (402187.5941074636 287005.32606352493),0.72227323,4.03,4.03,0.8224638504306954
E065,BRV,FW001715-09012023,2023-01-09 21:23:07.697,RTC,2023-01-09 21:25:53.573,2023-01-09 21:26:48.103,2023-01-09 21:29:29.033,2023-01-09 22:07:31.053,Fallings Park,E06,RTC,,PUMPING,Pumping,3,1,Initial Response,52.6133986326758,-2.11283489101862,"*risk based crewing 3* junction LEACROFT AT ROUNDABOUT  MAKE SAFE ONLY  POLICE REQUEST ATTENDANCE TO road traffic Collison FUEL SPILLAGE CAR versus CAR 1 CAR CRASHED INTO PARKED VAN  POLICE DISPATCHED ALL PASSENGERS OUT OF THE VEHICLES NO INJURIES MENTIONED police English word log - to log something, make a log of something 3806",Class 2,POINT (392456.59012410004 301740.26967135427),0.56719565,3.89,3.89,0.7717391745655058
